timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
14000,8,9011.01954384023,45055.09771920115,0.775,0.6954,310.0,3432.464111328125,2025-12-22T00:27:51.655550Z
14250,8,9011.01954384023,45055.09771920115,0.8225,0.5764,329.0,3432.464111328125,2025-12-22T00:27:52.307594Z
14500,9,8956.56220095853,44782.811004792646,0.1775,0.6146250000000001,71.0,3479.81396484375,2025-12-22T00:27:54.537319Z
14750,9,8956.56220095853,44782.811004792646,0.405,0.5905750000000001,162.0,3479.81396484375,2025-12-22T00:27:55.185402Z
15000,9,8956.56220095853,44782.811004792646,0.655,0.5216250000000001,262.0,3479.81396484375,2025-12-22T00:27:55.848700Z
15250,9,8956.56220095853,44782.811004792646,0.83,0.526275,332.0,3479.81396484375,2025-12-22T00:27:56.514350Z
15500,9,8956.56220095853,44782.811004792646,0.91,0.6172250000000001,364.0,3479.81396484375,2025-12-22T00:27:57.154909Z
15750,9,8956.56220095853,44782.811004792646,0.9325,0.49870000000000003,373.0,3479.81396484375,2025-12-22T00:27:57.806310Z
16000,10,8944.687052825839,44723.43526412919,0.955,0.44167500000000004,382.0,3479.81396484375,2025-12-22T00:27:58.462823Z
16250,10,8944.687052825839,44723.43526412919,0.375,0.539725,150.0,3479.81396484375,2025-12-22T00:27:59.253151Z
16500,10,8944.687052825839,44723.43526412919,0.6,0.5311750000000002,240.0,3476.1708984375,2025-12-22T00:28:01.496013Z
16750,10,8944.687052825839,44723.43526412919,0.8225,0.4255000000000001,329.0,3476.1708984375,2025-12-22T00:28:02.143079Z
17000,10,8944.687052825839,44723.43526412919,0.8875,0.578325,355.0,3476.1708984375,2025-12-22T00:28:02.798432Z
17250,10,8944.687052825839,44723.43526412919,0.9225,0.6147500000000001,369.0,3476.1708984375,2025-12-22T00:28:03.437513Z
17500,10,8944.687052825839,44723.43526412919,0.94,0.602225,376.0,3476.1708984375,2025-12-22T00:28:04.077912Z
17750,11,8964.72347866902,44823.61739334511,0.2375,0.6474000000000001,95.0,3476.1708984375,2025-12-22T00:28:04.742649Z
18000,11,8964.72347866902,44823.61739334511,0.505,0.5521,202.0,3476.1708984375,2025-12-22T00:28:05.378371Z
18250,11,8964.72347866902,44823.61739334511,0.655,0.6259750000000001,262.0,3476.1708984375,2025-12-22T00:28:06.155845Z
18500,11,8964.72347866902,44823.61739334511,0.79,0.4809000000000001,316.0,3562.03955078125,2025-12-22T00:28:08.390291Z
18750,11,8964.72347866902,44823.61739334511,0.8775,0.5885000000000001,351.0,3562.03955078125,2025-12-22T00:28:09.035497Z
19000,11,8964.72347866902,44823.61739334511,0.9325,0.5675500000000001,373.0,3562.03955078125,2025-12-22T00:28:09.678074Z
19250,12,8958.218042843033,44791.09021421516,0.0825,0.2750750000000001,33.0,3562.03955078125,2025-12-22T00:28:10.312090Z
19500,12,8958.218042843033,44791.09021421516,0.465,0.537325,186.0,3562.03955078125,2025-12-22T00:28:10.960958Z
19750,12,8958.218042843033,44791.09021421516,0.595,0.4438500000000001,238.0,3562.03955078125,2025-12-22T00:28:11.601856Z
20000,12,8958.218042843033,44791.09021421516,0.7475,0.48450000000000015,299.0,3562.03955078125,2025-12-22T00:28:12.256402Z
20250,12,8958.218042843033,44791.09021421516,0.88,0.5247750000000001,352.0,3562.03955078125,2025-12-22T00:28:13.029227Z
