timestep,mean_reward,coverage_ratio,average_threat_level
32500,97262.0920716675,0.2325,0.0
32750,99254.99207166584,0.2325,0.0
33000,102432.29207166527,0.2325,0.0
33250,103572.78407333228,0.2875,0.0
33500,104978.85073999951,0.2875,0.0
33750,108026.98407333247,0.2875,0.0
34000,112121.21740666607,0.2875,0.0
34250,112131.7155816665,0.0875,0.0
34500,112098.38224833366,0.0875,0.0
34750,112065.0489150008,0.0875,0.0
35000,112031.71558166796,0.0875,0.0
35250,112230.76376916892,0.145,0.0
35500,113711.49710250151,0.145,0.0
35750,115748.16376916783,0.145,0.0
36000,118248.16376916783,0.145,0.0
36250,119488.15906333436,0.285,0.0
36500,120244.9679183332,0.285,0.0
36750,121001.75718916529,0.285,0.0
37000,121917.97591166449,0.285,0.0
37250,122188.32409416346,0.1075,0.0
37500,122988.32409416273,0.1075,0.0
37750,123849.69076082879,0.1075,0.0
38000,125474.69076082879,0.1075,0.0
38250,125789.95559999542,0.1125,0.0
38500,126779.18893332934,0.1125,0.0
38750,129166.85559999562,0.1125,0.0
39000,132654.7889333286,0.1125,0.0
39250,133134.10781499383,0.2125,0.0
39500,133209.10781499092,0.2125,0.0
39750,133284.107814988,0.2125,0.0
40000,133359.1078149851,0.2125,0.0
40250,133666.62262415266,0.1875,0.0
40500,134461.15595748505,0.1875,0.0
40750,135277.82262415075,0.1875,0.0
41000,136094.48929081645,0.1875,0.0
41250,136551.454129985,0.1725,0.0
41500,136851.45412998792,0.1725,0.0
41750,137151.45412999083,0.1725,0.0
42000,137809.82079665907,0.1725,0.0
42250,138132.53563832547,0.185,0.0
42500,138165.86897165832,0.185,0.0
42750,138199.20230499117,0.185,0.0
43000,138232.535638324,0.185,0.0
43250,139389.2504374909,0.3775,0.0
43500,140578.25043749172,0.42,0.0
43750,141876.15043749195,0.42,0.0
44000,144368.65043749326,0.42,0.0
44250,144473.06292499226,0.1275,0.0
44500,144448.0629249908,0.1275,0.0
44750,144423.06292498935,0.1275,0.0
45000,144799.32959165671,0.1275,0.0
45250,144871.66108249052,0.095,0.0
45500,144900.82774915767,0.095,0.0
45750,144929.99441582483,0.095,0.0
46000,144959.16108249198,0.095,0.0
46250,145010.9414141574,0.095,0.0
46500,144985.94141415594,0.095,0.0
46750,144960.94141415448,0.095,0.0
47000,144935.94141415303,0.095,0.0
47250,145498.1062108188,0.2125,0.0
47500,146581.43954415456,0.2125,0.0
47750,148108.93954415535,0.2125,0.0
48000,151090.40621082237,0.2125,0.0
48250,152734.30377165586,0.29,0.0
48500,152884.30377165732,0.29,0.0
48750,153034.30377165877,0.29,0.0
49000,153184.30377166023,0.29,0.0
49250,154114.80194166032,0.2875,0.0
49500,155756.70194165857,0.2875,0.0
49750,159513.26860832734,0.2875,0.0
50000,163888.26860832734,0.2875,0.0
50250,164064.88346249645,0.1575,0.0
50500,164081.5501291665,0.1575,0.0
50750,164098.21679583658,0.1575,0.0
51000,164114.88346250664,0.1575,0.0
51250,165171.02305500695,0.35,0.0
51500,165466.8563883369,0.35,0.0
51750,166048.45638833503,0.35,0.0
52000,167169.28972166934,0.35,0.0
52250,167444.72122500095,0.125,0.0
52500,167640.55455833234,0.125,0.0
52750,167836.38789166373,0.125,0.0
53000,168032.22122499513,0.125,0.0
53250,169152.9360766626,0.2475,0.0
53500,170692.9027433308,0.2475,0.0
53750,173832.03607666446,0.2475,0.0
54000,177482.20274333257,0.2475,0.0
54250,178002.91757500052,0.11,0.0
54500,178802.91757500343,0.11,0.0
54750,179602.91757500634,0.11,0.0
55000,180402.91757500925,0.11,0.0
55250,181812.9824266758,0.33,0.0
55500,183288.94909334418,0.3675,0.0
55750,185762.81576000928,0.3675,0.0
56000,188587.81576000637,0.3675,0.0
56250,190108.83414000616,0.355,0.0
56500,191089.01747333852,0.5425,0.0
56750,191164.0174733356,0.5425,0.0
57000,191765.68414000218,0.5425,0.0
57250,191933.93230000004,0.185,0.0
57500,191883.93229999713,0.185,0.0
57750,191833.93229999422,0.185,0.0
58000,191783.9322999913,0.185,0.0
58250,192788.6599308247,0.34,0.0
58500,194056.6099308247,0.595,0.0
58750,194123.2765974904,0.595,0.0
59000,194189.94326415609,0.595,0.0
59250,195607.59140915607,0.405,0.0
59500,195998.40807582095,0.48,0.0
59750,196289.87474248587,0.48,0.0
60000,197189.87474248733,0.48,0.0
60250,198181.20624082143,0.09,0.0
60500,200335.37290748858,0.09,0.0
60750,202489.53957415573,0.09,0.0
61000,205495.73957415525,0.09,0.0
61250,205719.65438332147,0.0225,0.0
61500,205940.48771665432,0.0225,0.0
61750,206161.32104998716,0.0225,0.0
62000,206382.15438332,0.0225,0.0
62250,207436.65781331976,0.305,0.0
62500,207589.29114665487,0.305,0.0
