timestep,mean_reward,episode_length,coverage_ratio,average_threat_level,average_battery,elapsed_time
21500,9544.332754166773,1000,0.08,0.0,99.0006666666619,804.5936374664307
21750,9647.56492333331,1000,0.0325,0.0,99.00199999999523,814.0075061321259
22000,9402.200000000068,1000,0.0475,0.0,98.99999999999523,823.3825118541718
22250,6681.266666666691,1000,0.0325,0.0,98.99999999999523,832.7330448627472
22500,3808.9661125000034,1000,0.1025,0.0,99.0006666666619,841.883382320404
22750,7159.064377500135,1000,0.0925,0.0,99.00199999999523,851.2724723815918
23000,3171.600000000031,1000,0.055,0.0,98.99999999999523,860.6897089481354
23250,2220.733333333322,1000,0.0775,0.0,98.99999999999523,870.1012241840363
23500,7752.631586666574,1000,0.0725,0.0,99.00199999999523,879.5292749404907
23750,4640.632745833284,1000,0.045,0.0,99.0006666666619,888.9483294487
24000,6075.99999999998,1000,0.07,0.0,98.99999999999523,898.3395752906799
24250,4510.899999999976,1000,0.0775,0.0,98.99999999999523,907.7190592288971
24500,5632.929486666593,1000,0.055,0.0,99.00399999999524,917.0880780220032
24750,11283.499999999862,1000,0.115,0.0,98.99999999999523,926.449410200119
25000,2364.498238333319,1000,0.025,0.0,99.00133333332856,935.7606394290924
25250,4684.866093333373,1000,0.05,0.0,99.0006666666619,945.102236032486
25500,4496.261631666658,1000,0.05,0.0,99.00433333332857,954.4855272769928
25750,2358.614975833353,1000,0.07,0.0,99.00133333332856,963.8663392066956
26000,3728.6994375000777,1000,0.0775,0.0,99.0006666666619,973.3416039943695
26250,10118.499434999996,1000,0.1025,0.0,99.0006666666619,982.6614325046539
26500,5310.515494999987,1000,0.065,0.0,99.00133333332856,992.0696012973785
26750,1411.9963191666805,1000,0.0625,0.0,99.00466666666192,1001.3967952728271
27000,1010.2982975,1000,0.0475,0.0,99.00133333332856,1010.7933428287506
27250,7592.666084166781,1000,0.0425,0.0,99.0006666666619,1020.1235921382904
27500,1211.6661083333563,1000,0.06,0.0,99.0006666666619,1029.5551126003265
27750,2138.5827791666334,1000,0.095,0.0,99.0006666666619,1038.933519601822
28000,2459.733333333296,1000,0.0475,0.0,98.99999999999523,1048.2457060813904
28250,747.4311066666746,1000,0.0475,0.0,99.00266666666191,1057.585598707199
28500,4955.86401666665,1000,0.06,0.0,99.00266666666191,1067.0088670253754
28750,1502.6666666666667,1000,0.0325,0.0,98.99999999999523,1076.3956460952759
29000,3418.1327525,1000,0.095,0.0,99.0006666666619,1085.720074415207
29250,1491.7994458333492,1000,0.0975,0.0,99.0006666666619,1094.880130290985
29500,4758.380201666698,1000,0.08,0.0,99.00299999999523,1104.267144203186
29750,2042.4640641666751,1000,0.0475,0.0,99.00233333332858,1113.5952005386353
30000,5753.599444166675,1000,0.0925,0.0,99.0006666666619,1122.9954051971436
30250,5985.23053916672,1000,0.045,0.0,99.00266666666191,1132.1359548568726
30500,8984.949415833178,1000,0.0625,0.0,99.0006666666619,1141.5388097763062
30750,2177.5661074999643,1000,0.09,0.0,99.0006666666619,1150.9694123268127
31000,3007.63841166667,1000,0.0325,0.0,99.33399999999682,1160.0905668735504
31250,6383.131520833421,1000,0.0425,0.0,99.00199999999523,1169.5183839797974
31500,3568.466106666665,1000,0.0625,0.0,99.0006666666619,1178.871646642685
31750,7288.464080833386,1000,0.0525,0.0,99.00333333332857,1188.2528686523438
32000,5559.231505833303,1000,0.055,0.0,99.00199999999523,1197.6466467380524
32250,565.792587500009,1000,0.0625,0.0,99.0063333333286,1206.9726104736328
32500,5386.782150000023,1000,0.0425,0.0,99.00133333332856,1216.3473699092865
32750,4621.727465833348,1000,0.1225,0.0,99.00333333332857,1225.6725733280182
33000,3275.1327600000013,1000,0.0775,0.0,99.0006666666619,1235.0145816802979
33250,2569.9470166666824,1000,0.0525,0.0,99.00266666666191,1244.40159201622
33500,4218.366089166678,1000,0.0925,0.0,99.0006666666619,1253.74809384346
33750,1011.8333333333334,1000,0.0675,0.0,98.99999999999523,1263.1094906330109
34000,2849.8649366666796,1000,0.0425,0.0,99.00133333332856,1272.4924886226654
34250,9962.466666666514,1000,0.065,0.0,98.99999999999523,1281.854017496109
34500,2124.9821500000235,1000,0.0725,0.0,99.00133333332856,1291.2899041175842
34750,1264.346765000012,1000,0.06,0.0,99.00299999999523,1300.6550755500793
35000,3484.0961475000263,1000,0.0425,0.0,99.00399999999524,1309.949285030365
35250,4445.666096666624,1000,0.0725,0.0,99.0006666666619,1319.2894558906555
35500,3429.1333333333787,1000,0.06,0.0,98.99999999999523,1328.6342194080353
35750,3893.866666666609,1000,0.05,0.0,98.99999999999523,1337.9884791374207
36000,3238.3327541666276,1000,0.0425,0.0,99.0006666666619,1347.3869795799255
36250,3952.23165749998,1000,0.065,0.0,99.00133333332856,1356.8238985538483
36500,3786.0788216666915,1000,0.095,0.0,99.00499999999526,1366.2397315502167
36750,5273.297741666626,1000,0.0425,0.0,99.00199999999523,1375.6035344600677
37000,9530.36609499997,1000,0.0475,0.0,99.0006666666619,1384.9568390846252
37250,3136.2660958333627,1000,0.0625,0.0,99.0006666666619,1394.3484280109406
37500,3027.7327616666853,1000,0.045,0.0,99.0006666666619,1403.6573674678802
37750,6571.698835000022,1000,0.0575,0.0,99.00133333332856,1412.8093724250793
38000,3038.682154999985,1000,0.0775,0.0,99.00133333332856,1422.0620956420898
38250,6289.098379166592,1000,0.1075,0.0,99.00133333332856,1431.422351360321
38500,4213.831490833336,1000,0.0625,0.0,99.00199999999523,1440.8170909881592
38750,2376.179746666674,1000,0.065,0.0,99.00366666666191,1450.152862071991
39000,6819.816100000038,1000,0.0325,0.0,99.0006666666619,1459.5296416282654
39250,13220.180436666495,1000,0.055,0.0,99.00266666666191,1468.894981622696
39500,4575.209352499983,1000,0.085,0.0,99.00666666666193,1477.9607133865356
39750,4412.4660941666425,1000,0.0525,0.0,99.0006666666619,1487.341792345047
40000,4779.663655833396,1000,0.07,0.0,99.00266666666191,1496.7223839759827
40250,9474.031101666655,1000,0.0775,0.0,99.00199999999523,1506.0917177200317
40500,9205.397779166642,1000,0.1025,0.0,99.00199999999523,1515.4693984985352
40750,5785.264364999943,1000,0.0475,0.0,99.00199999999523,1524.8268222808838
41000,6459.342573333344,1000,0.1,0.0,99.00466666666192,1534.2044548988342
41250,1791.9976899999879,1000,0.065,0.0,99.00199999999523,1543.2702100276947
41500,7074.430405000108,1000,0.0475,0.0,99.00266666666191,1552.6879415512085
41750,6296.814854166601,1000,0.0925,0.0,99.00199999999523,1561.9929928779602
42000,7278.3804283333175,1000,0.09,0.0,99.00266666666191,1571.3768808841705
42250,9024.599436666718,1000,0.08,0.0,99.0006666666619,1580.7385833263397
42500,4015.7476983333313,1000,0.1175,0.0,99.00199999999523,1590.0726218223572
42750,3533.2453924999886,1000,0.0525,0.0,99.00333333332857,1599.4887273311615
43000,1412.8494416666801,1000,0.06,0.0,99.0006666666619,1608.802946805954
43250,660.4314108333276,1000,0.055,0.0,99.00166666666189,1618.2205238342285
43500,3739.949426666733,1000,0.0975,0.0,99.0006666666619,1627.643461227417
43750,4274.962403333374,1000,0.0425,0.0,99.00499999999526,1637.079839706421
44000,8481.96548833331,1000,0.055,0.0,99.00133333332856,1646.467054605484
44250,6297.332754999925,1000,0.06,0.0,99.0006666666619,1655.9025349617004
44500,7735.766077500063,1000,0.0475,0.0,99.0006666666619,1665.3528673648834
44750,5179.913743333395,1000,0.11,0.0,99.00266666666191,1674.7038474082947
45000,2108.398805000032,1000,0.0425,0.0,99.00133333332856,1684.1169981956482
45250,4215.766094999946,1000,0.09,0.0,99.0006666666619,1693.445425748825
45500,6211.065481666724,1000,0.0575,0.0,99.00133333332856,1702.8146965503693
45750,811.4327558333214,1000,0.075,0.0,99.0006666666619,1712.1546564102173
46000,9738.53040000014,1000,0.065,0.0,99.00266666666191,1721.5472204685211
46250,9100.198368333338,1000,0.09,0.0,99.00133333332856,1730.9587831497192
46500,2538.2994366666303,1000,0.055,0.0,99.0006666666619,1740.3076026439667
46750,6891.9994249999045,1000,0.035,0.0,99.0006666666619,1749.7052717208862
47000,1182.0610541666758,1000,0.085,0.0,99.00399999999524,1759.0588936805725
47250,4565.247758333332,1000,0.0975,0.0,99.00199999999523,1768.438017129898
47500,6455.266666666541,1000,0.0525,0.0,98.99999999999523,1777.8316316604614
47750,2653.7655083333198,1000,0.0575,0.0,99.00133333332856,1787.1709711551666
48000,4985.047650000039,1000,0.0575,0.0,99.00199999999523,1796.3717501163483
48250,2017.878901666663,1000,0.1275,0.0,99.00366666666191,1805.7897622585297
48500,5597.932778333306,1000,0.085,0.0,99.0006666666619,1815.1495263576508
48750,813.7327716666546,1000,0.06,0.0,99.0006666666619,1824.4757597446442
49000,3329.366089999954,1000,0.0725,0.0,99.0006666666619,1833.854288816452
49250,9119.444246666673,1000,0.08,0.0,99.00599999999525,1843.2702906131744
49500,6209.133333333302,1000,0.1125,0.0,98.99999999999523,1852.6482236385345
