timestep,mean_reward,coverage_ratio,average_threat_level
58750,194211.76464253463,0.125,0.0
59000,195286.76464253172,0.125,0.0
59250,195605.82948419877,0.2325,0.0
59500,195572.49615086592,0.2325,0.0
59750,195539.16281753307,0.2325,0.0
60000,196177.69615086462,0.2325,0.0
60250,196186.27765420047,0.1125,0.0
60500,196111.27765420338,0.1125,0.0
60750,196056.27765420615,0.1125,0.0
61000,196804.74432087282,0.1125,0.0
61250,197786.22263170633,0.28,0.0
61500,197842.9690033728,0.28,0.0
61750,197899.6973367058,0.28,0.0
62000,197956.42567003882,0.28,0.0
62250,198023.77384003927,0.0775,0.0
62500,198052.94050670642,0.0775,0.0
62750,198082.10717337357,0.0775,0.0
63000,198271.64050670693,0.0775,0.0
63250,199583.53865420714,0.335,0.0
63500,199992.6053208764,0.355,0.0
63750,200292.60532087932,0.355,0.0
64000,201504.03865421237,0.355,0.0
64250,202276.83682921116,0.21,0.0
64500,203774.10349587642,0.21,0.0
64750,205844.9368292078,0.21,0.0
65000,207915.7701625392,0.21,0.0
65250,209239.54953087238,0.3275,0.0
65500,210368.3513825378,0.4125,0.0
65750,211590.41804920472,0.4125,0.0
66000,213315.41804920326,0.4125,0.0
66250,214842.19955503638,0.33,0.0
66500,216025.3763658699,0.445,0.0
66750,216367.04303253704,0.445,0.0
67000,218042.54303253864,0.445,0.0
67250,218254.72454087084,0.2025,0.0
67500,218229.72454086939,0.2025,0.0
67750,219340.5578742025,0.2025,0.0
68000,220965.5578742025,0.2025,0.0
68250,222291.0560592026,0.3625,0.0
68500,222957.77272586862,0.45,0.0
68750,223024.43939253432,0.45,0.0
69000,223091.1060592,0.45,0.0
69250,223179.6683391988,0.1275,0.0
69500,223154.66833919735,0.1275,0.0
69750,223702.53500586562,0.1275,0.0
70000,224502.53500586853,0.1275,0.0
70250,225608.3165117032,0.1225,0.0
70500,228419.28317836986,0.1225,0.0
70750,231991.4165117023,0.1225,0.0
71000,237158.78317836786,0.1225,0.0
71250,237571.48133586798,0.1475,0.0
71500,237821.48133586798,0.1475,0.0
71750,238071.48133586798,0.1475,0.0
72000,238321.48133586798,0.1475,0.0
72250,239534.86284420104,0.35,0.0
72500,240787.312844202,0.435,0.0
72750,241687.31284420346,0.435,0.0
73000,242925.87951087032,0.435,0.0
73250,243182.5937400373,0.085,0.0
73500,243364.1855108709,0.085,0.0
73750,243545.77728170453,0.085,0.0
74000,243727.36905253815,0.085,0.0
74250,243899.30053837033,0.1425,0.0
74500,243874.30053836887,0.1425,0.0
74750,243849.30053836742,0.1425,0.0
75000,243824.30053836596,0.1425,0.0
75250,244898.58203419982,0.2725,0.0
75500,246723.1487008636,0.2725,0.0
75750,248548.14870086068,0.2725,0.0
76000,250373.14870085777,0.2725,0.0
76250,251818.45450085757,0.34,0.0
76500,254549.74633669097,0.5325,0.0
76750,255449.74633669242,0.5325,0.0
77000,256349.74633669388,0.5325,0.0
77250,257821.7945166934,0.33,0.0
77500,259187.1445166935,0.4175,0.0
77750,260345.47785002633,0.4175,0.0
78000,261503.81118335918,0.4175,0.0
78250,262663.02751419443,0.23,0.0
78500,264387.12751419586,0.23,0.0
78750,267169.19418086077,0.23,0.0
79000,270922.79418085824,0.23,0.0
79250,270917.69234586076,0.1075,0.0
79500,270842.6923458637,0.1075,0.0
79750,270767.6923458666,0.1075,0.0
80000,270988.35901253484,0.1075,0.0
80250,271269.8052075389,0.185,0.0
80500,271244.8052075447,0.185,0.0
80750,271219.8052075505,0.185,0.0
81000,271194.80520755635,0.185,0.0
81250,271623.03671089286,0.195,0.0
81500,271598.0367108987,0.195,0.0
81750,271573.0367109045,0.195,0.0
82000,271548.0367109103,0.195,0.0
82250,271660.16823174845,0.1475,0.0
82500,271635.1682317543,0.1475,0.0
82750,271610.1682317601,0.1475,0.0
83000,271585.1682317659,0.1475,0.0
83250,272130.2642651015,0.2325,0.0
83500,272105.26426510734,0.2325,0.0
83750,272080.26426511316,0.2325,0.0
84000,272055.264265119,0.2325,0.0
84250,273499.329114285,0.2375,0.0
84500,275849.16244761244,0.2375,0.0
84750,278315.8291142723,0.2375,0.0
85000,280782.4957809322,0.2375,0.0
85250,280840.31062260113,0.13,0.0
85500,280765.31062260404,0.13,0.0
85750,280690.31062260695,0.13,0.0
86000,280615.31062260986,0.13,0.0
86250,280865.1421334472,0.145,0.0
86500,281031.80880011874,0.145,0.0
86750,281198.47546679026,0.145,0.0
87000,281365.1421334618,0.145,0.0
87250,281643.373641801,0.1225,0.0
87500,281864.20697514113,0.1225,0.0
87750,282085.04030848126,0.1225,0.0
88000,282305.8736418214,0.1225,0.0
88250,283263.6218118203,0.2375,0.0
88500,284534.4551451488,0.2375,0.0
88750,285805.2884784773,0.2375,0.0
89000,287076.12181180576,0.2375,0.0
89250,288342.4821376399,0.3825,0.0
89500,288973.31547097064,0.4625,0.0
89750,289297.782137634,0.4625,0.0
