timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,visited_cells,loss,timestamp
18750,19,-8.558,-42.79,0.8275,0.8048000000000001,331,0.0,2025-12-24T00:01:33.603216Z
19000,19,-10.7,-53.5,0.8275,1.0,331,0.0,2025-12-24T00:01:33.838683Z
19250,20,0.294583333333331,1.4729166666666564,0.98,0.264875,392,0.0,2025-12-24T00:01:33.964695Z
19500,20,-0.8212500000000018,-4.106250000000006,0.98,0.4611250000000002,392,0.0,2025-12-24T00:01:34.085520Z
19750,20,-11.15325,-55.76625,0.98,0.945325,392,0.0,2025-12-24T00:01:34.237777Z
20000,20,-11.7,-58.5,0.98,1.0,392,0.0,2025-12-24T00:01:34.407447Z
20250,21,7.5714166666666625,37.857083333333314,0.98,0.140525,392,0.0,2025-12-24T00:01:34.536051Z
20500,21,-2.1977500000000005,-10.988750000000003,0.98,0.18477500000000005,392,0.0,2025-12-24T00:01:34.647580Z
20750,21,-2.6917500000000003,-13.458750000000002,0.98,0.25417500000000004,392,0.0,2025-12-24T00:01:34.763561Z
21000,21,-6.0795,-30.3975,0.98,0.6019500000000001,392,0.0,2025-12-24T00:01:34.880140Z
21250,22,-1.6361666666666697,-8.180833333333348,0.6175,0.5699500000000002,247,0.0,2025-12-24T00:01:35.123828Z
21500,22,-8.163500000000003,-40.81750000000001,0.6175,0.7653500000000002,247,0.0,2025-12-24T00:01:35.356717Z
21750,22,-10.7,-53.5,0.6175,1.0,247,0.0,2025-12-24T00:01:35.588925Z
22000,22,-10.7,-53.5,0.6175,1.0,247,0.0,2025-12-24T00:01:35.821222Z
22250,23,2.960916666666668,14.804583333333344,0.98,0.15157500000000002,392,0.0,2025-12-24T00:01:35.943179Z
22500,23,-1.041749999999999,-5.208749999999996,0.98,0.16017499999999998,392,0.0,2025-12-24T00:01:36.054852Z
22750,23,-2.066500000000001,-10.332500000000005,0.98,0.17365000000000008,392,0.0,2025-12-24T00:01:36.169329Z
23000,23,11.090750000000012,55.45375000000006,0.98,0.14892500000000003,392,0.0,2025-12-24T00:01:36.280681Z
23250,24,5.58483333333333,27.92416666666665,0.98,0.2668500000000001,392,0.0,2025-12-24T00:01:36.409199Z
23500,24,-3.7725000000000026,-18.86250000000001,0.98,0.6882500000000001,392,0.0,2025-12-24T00:01:36.522826Z
23750,24,-11.25,-56.25,0.98,1.0,392,0.0,2025-12-24T00:01:36.684931Z
24000,24,-11.25,-56.25,0.98,1.0,392,0.0,2025-12-24T00:01:36.849789Z
24250,25,13.411250000000003,67.05625,0.98,0.2678750000000001,392,0.0,2025-12-24T00:01:36.983811Z
24500,25,-4.234984000000001,-21.174920000000004,0.98,0.6492,392,0.0,2025-12-24T00:01:37.102342Z
24750,25,-10.529750000000002,-52.64875000000001,0.98,0.9039750000000001,392,0.0,2025-12-24T00:01:37.236940Z
25000,25,-11.49,-57.45,0.98,1.0,392,0.0,2025-12-24T00:01:37.375026Z
25250,26,6.192666666666666,30.96333333333332,0.98,0.23040000000000002,392,0.0,2025-12-24T00:01:37.499338Z
25500,26,-2.9827500000000002,-14.913750000000004,0.98,0.4392750000000001,392,0.0,2025-12-24T00:01:37.627898Z
25750,26,-0.3859999999999868,-1.9299999999999358,0.98,0.7576000000000002,392,0.0,2025-12-24T00:01:37.811198Z
26000,26,-11.34,-56.7,0.98,1.0,392,0.0,2025-12-24T00:01:37.995080Z
26250,27,-4.653,-23.265,0.67,0.5203,268,0.0,2025-12-24T00:01:38.117802Z
26500,27,-4.0246666666666675,-20.12333333333334,0.82,0.6728000000000001,328,0.0,2025-12-24T00:01:38.234816Z
26750,27,-9.16025,-45.80125,0.82,0.846025,328,0.0,2025-12-24T00:01:38.348803Z
27000,27,-10.7,-53.5,0.82,1.0,328,0.0,2025-12-24T00:01:38.456707Z
27250,28,12.127499999999996,60.63749999999998,0.98,0.24225000000000008,392,0.0,2025-12-24T00:01:38.591736Z
27500,28,7.742750000000001,38.713750000000005,0.98,0.154725,392,0.0,2025-12-24T00:01:38.704590Z
27750,28,-5.9805,-29.9025,0.98,0.50905,392,0.0,2025-12-24T00:01:38.856255Z
28000,28,-8.624500000000001,-43.1225,0.98,0.7464500000000001,392,0.0,2025-12-24T00:01:39.014162Z
28250,29,-0.44841666666666935,-2.2420833333333454,0.98,0.32417500000000005,392,0.0,2025-12-24T00:01:39.149794Z
28500,29,-1.2870000000000044,-6.43500000000002,0.98,0.5947000000000001,392,0.0,2025-12-24T00:01:39.306279Z
28750,29,-10.1445,-50.722500000000004,0.98,0.84445,392,0.0,2025-12-24T00:01:39.461300Z
29000,29,-11.7,-58.5,0.98,1.0,392,0.0,2025-12-24T00:01:39.613365Z
29250,30,5.236666666666664,26.18333333333332,0.98,0.2710000000000001,392,0.0,2025-12-24T00:01:39.742731Z
