timestep,episode,reward,coverage_ratio,threat_level_avg,visited_cells
37250,10,2751.948087499921,0.1,0.9525,0
37500,10,3214.448087499898,0.1,0.9525,0
37750,10,4950.048087499886,0.1,0.9525,0
38000,10,8180.548087499878,0.1,0.9525,0
38250,10,13593.048087499788,0.1,0.9525,0
38500,10,19005.54808749992,0.1,0.9525,0
38750,10,24418.048087500283,0.1,0.9525,0
39000,10,29830.548087500647,0.1,0.9525,0
39250,10,35243.04808750101,0.1,0.9525,0
39500,10,42255.348087501596,0.1,0.9525,0
39750,10,50142.84808750232,0.1,0.9525,0
40000,10,58030.34808750305,0.1,0.9525,0
40250,11,3103.6981175000005,0.3225,0.764375,0
40500,11,6183.948117499991,0.535,0.9212250000000001,0
40750,11,6746.448117499991,0.535,0.9425,0
41000,11,7308.948117499991,0.535,0.9425,0
41250,11,7871.448117499991,0.535,0.9425,0
41500,11,9142.748117499968,0.535,0.9425,0
41750,11,12180.248117499877,0.535,0.9425,0
42000,11,15217.748117499787,0.535,0.9425,0
42250,11,18934.34811749985,0.535,0.9425,0
42500,11,25670.448117499833,0.535,0.9425,0
42750,11,33657.94811749992,0.535,0.9425,0
43000,11,42770.04811749934,0.535,0.9425,0
43250,11,53232.548117498976,0.535,0.9425,0
43500,11,63695.04811749861,0.535,0.9425,0
43750,11,77070.04811749831,0.535,0.9425,0
44000,11,92482.54811749686,0.535,0.9425,0
44250,12,2452.820232499999,0.2475,0.8620500000000001,0
44500,12,2915.320232499976,0.2475,0.9525,0
44750,12,3377.8202324999534,0.2475,0.9525,0
45000,12,3840.3202324999306,0.2475,0.9525,0
45250,12,4302.820232499958,0.2475,0.9525,0
45500,12,4765.320232500049,0.2475,0.9525,0
45750,12,5227.82023250014,0.2475,0.9525,0
46000,12,5690.320232500231,0.2475,0.9525,0
46250,12,6152.820232500322,0.2475,0.9525,0
46500,12,6615.320232500413,0.2475,0.9525,0
46750,12,8291.520232500463,0.2475,0.9525,0
47000,12,11229.020232500463,0.2475,0.9525,0
47250,12,14166.520232500463,0.2475,0.9525,0
47500,12,17104.02023250046,0.2475,0.9525,0
47750,12,20041.52023250046,0.2475,0.9525,0
48000,12,22979.02023250046,0.2475,0.9525,0
48250,13,3586.9981200000025,0.3325,0.761425,0
48500,13,7917.148119999995,0.6325,0.75185,0
48750,13,11047.948119999995,0.64,0.94,0
49000,13,15482.548119999949,0.64,0.94,0
49250,13,21020.04812000024,0.64,0.94,0
49500,13,26557.548120000603,0.64,0.94,0
49750,13,32163.048120000967,0.64,0.94,0
50000,13,40172.84812000163,0.64,0.94,0
50250,13,49082.24812000189,0.64,0.94,0
50500,13,59569.74812000116,0.64,0.94,0
50750,13,70057.24812000044,0.64,0.94,0
51000,13,80544.74811999971,0.64,0.94,0
51250,13,91335.14811999917,0.64,0.94,0
51500,13,104297.64812000062,0.64,0.94,0
51750,13,117260.14812000208,0.64,0.94,0
52000,13,130222.64812000353,0.64,0.94,0
52250,14,2368.2981174999995,0.005,0.94,0
52500,14,7545.398117499947,0.005,0.94,0
52750,14,13082.898117499857,0.005,0.94,0
53000,14,18620.39811749995,0.005,0.94,0
53250,14,24157.898117500314,0.005,0.94,0
53500,14,29695.398117500677,0.005,0.94,0
53750,14,38036.49811750073,0.005,0.94,0
54000,14,48523.9981175,0.005,0.94,0
54250,14,59011.49811749927,0.005,0.94,0
54500,14,69498.99811749854,0.005,0.94,0
54750,14,81685.29811749923,0.005,0.94,0
55000,14,94647.79811750069,0.005,0.94,0
55250,14,107610.29811750214,0.005,0.94,0
55500,14,120572.7981175036,0.005,0.94,0
55750,14,133535.29811750504,0.005,0.94,0
56000,14,146498.2981175065,0.005,0.94,0
56250,15,581.3981225,0.0825,0.9675,0
56500,15,893.8981225,0.0825,0.9675,0
56750,15,1206.3981225,0.0825,0.9675,0
57000,15,1518.8981225,0.0825,0.9675,0
57250,15,1831.3981225,0.0825,0.9675,0
57500,15,2143.8981224999998,0.0825,0.9675,0
57750,15,2456.3981224999998,0.0825,0.9675,0
58000,15,2768.8981224999998,0.0825,0.9675,0
58250,15,3081.3981224999998,0.0825,0.9675,0
58500,15,3393.8981224999998,0.0825,0.9675,0
58750,15,3706.3981224999998,0.0825,0.9675,0
59000,15,4018.8981224999998,0.0825,0.9675,0
59250,15,4331.3981225,0.0825,0.9675,0
59500,15,4643.8981225,0.0825,0.9675,0
59750,15,4956.3981225,0.0825,0.9675,0
60000,15,5268.8981225,0.0825,0.9675,0
60250,16,1965.198105000002,0.0975,0.9525,0
60500,16,8967.598105000014,0.0975,0.9525,0
60750,16,16855.098104999834,0.0975,0.9525,0
61000,16,26358.198104999785,0.0975,0.9525,0
61250,16,39195.69810499942,0.0975,0.9525,0
61500,16,52033.19810499906,0.0975,0.9525,0
61750,16,64870.69810499869,0.0975,0.9525,0
62000,16,77708.19810500006,0.0975,0.9525,0
62250,16,90545.69810500152,0.0975,0.9525,0
62500,16,103383.19810500297,0.0975,0.9525,0
62750,16,116220.69810500443,0.0975,0.9525,0
63000,16,129058.19810500588,0.0975,0.9525,0
63250,16,141895.69810500732,0.0975,0.9525,0
63500,16,154733.19810500878,0.0975,0.9525,0
63750,16,167570.69810501023,0.0975,0.9525,0
64000,16,180408.1981050117,0.0975,0.9525,0
64250,17,3038.6831000000034,0.31,0.7655000000000001,0
64500,17,3626.233099999981,0.31,0.94,0
64750,17,4213.733099999981,0.31,0.94,0
65000,17,4801.233100000072,0.31,0.94,0
65250,17,5642.133100000157,0.31,0.94,0
65500,17,9888.633100000117,0.31,0.94,0
65750,17,17798.133099999945,0.31,0.94,0
66000,17,25810.633099999763,0.31,0.94,0
66250,17,33823.1330999997,0.31,0.94,0
66500,17,41835.63310000043,0.31,0.94,0
66750,17,51477.633100000254,0.31,0.94,0
67000,17,61965.133099999526,0.31,0.94,0
67250,17,72452.6330999988,0.31,0.94,0
67500,17,82940.13309999807,0.31,0.94,0
67750,17,93427.63309999734,0.31,0.94,0
68000,17,104812.03309999732,0.31,0.94,0
68250,18,2564.898122499997,0.27,0.9009500000000001,0
68500,18,3152.3981224999743,0.27,0.94,0
68750,18,3739.8981224999516,0.27,0.94,0
69000,18,4327.398122499973,0.27,0.94,0
69250,18,6574.098122500007,0.27,0.94,0
69500,18,10058.298122499995,0.27,0.94,0
69750,18,15595.798122499904,0.27,0.94,0
70000,18,21133.298122500204,0.27,0.94,0
70250,18,26670.798122500568,0.27,0.94,0
70500,18,32208.29812250093,0.27,0.94,0
70750,18,37745.79812250129,0.27,0.94,0
71000,18,43283.298122501656,0.27,0.94,0
71250,18,48820.79812250202,0.27,0.94,0
71500,18,54358.29812250238,0.27,0.94,0
71750,18,59895.79812250275,0.27,0.94,0
72000,18,65433.29812250311,0.27,0.94,0
72250,19,1654.6981224999938,0.035,0.945,0
72500,19,4667.198122500032,0.035,0.945,0
72750,19,9487.398122500068,0.035,0.945,0
73000,19,15356.99812250024,0.035,0.945,0
73250,19,23319.498122499936,0.035,0.945,0
73500,19,31281.99812249957,0.035,0.945,0
73750,19,39244.49812249921,0.035,0.945,0
74000,19,47206.998122498844,0.035,0.945,0
74250,19,55169.49812249848,0.035,0.945,0
74500,19,63131.99812249812,0.035,0.945,0
74750,19,71094.49812249902,0.035,0.945,0
75000,19,79056.99812250047,0.035,0.945,0
75250,19,87037.49812250193,0.035,0.945,0
75500,19,97443.098122502,0.035,0.945,0
75750,19,107880.598122502,0.035,0.945,0
76000,19,118318.098122502,0.035,0.945,0
76250,20,2599.1481175000004,0.105,0.9525,0
76500,20,5536.648117500001,0.105,0.9525,0
76750,20,8668.148117499997,0.105,0.9525,0
77000,20,14080.648117499906,0.105,0.9525,0
77250,20,19493.148117500077,0.105,0.9525,0
77500,20,24905.64811750044,0.105,0.9525,0
77750,20,30318.148117500805,0.105,0.9525,0
78000,20,35730.648117501165,0.105,0.9525,0
78250,20,41143.14811750153,0.105,0.9525,0
78500,20,46555.64811750189,0.105,0.9525,0
78750,20,51978.648117502256,0.105,0.9525,0
79000,20,60976.24811750234,0.105,0.9525,0
79250,20,72928.64811750287,0.105,0.9525,0
79500,20,85766.14811750433,0.105,0.9525,0
79750,20,98896.64811750567,0.105,0.9525,0
80000,20,114209.14811750567,0.105,0.9525,0
80250,21,410.298085,0.0425,0.9675,0
80500,21,722.798085,0.0425,0.9675,0
80750,21,1338.1980850000018,0.0425,0.9675,0
81000,21,4125.698085000024,0.0425,0.9675,0
81250,21,6913.198084999933,0.0425,0.9675,0
81500,21,9700.698084999842,0.0425,0.9675,0
81750,21,12488.19808499975,0.0425,0.9675,0
82000,21,15275.69808499966,0.0425,0.9675,0
82250,21,18063.198084999844,0.0425,0.9675,0
82500,21,20850.698085000207,0.0425,0.9675,0
82750,21,23638.19808500057,0.0425,0.9675,0
83000,21,26425.698085000935,0.0425,0.9675,0
83250,21,29213.1980850013,0.0425,0.9675,0
83500,21,32000.698085001663,0.0425,0.9675,0
83750,21,34788.198085002026,0.0425,0.9675,0
84000,21,37575.69808500239,0.0425,0.9675,0
84250,22,393.94812000000167,0.0225,0.965,0
84500,22,2974.748120000002,0.0225,0.965,0
84750,22,5787.248120000002,0.0225,0.965,0
85000,22,8599.748120000002,0.0225,0.965,0
85250,22,11412.248120000002,0.0225,0.965,0
85500,22,14224.748120000002,0.0225,0.965,0
85750,22,17037.24812,0.0225,0.965,0
86000,22,19984.348120000006,0.0225,0.965,0
86250,22,25271.84812000037,0.0225,0.965,0
86500,22,30559.348120000734,0.0225,0.965,0
86750,22,35846.848120001094,0.0225,0.965,0
87000,22,41134.34812000146,0.0225,0.965,0
87250,22,48120.64812000206,0.0225,0.965,0
87500,22,55884.648120002785,0.0225,0.965,0
87750,22,66047.34812000216,0.0225,0.965,0
88000,22,76284.84812000144,0.0225,0.965,0
88250,23,641.9981200000034,0.005,0.94,0
88500,23,1229.498119999999,0.005,0.94,0
88750,23,1816.9981199999763,0.005,0.94,0
89000,23,2404.498119999954,0.005,0.94,0
89250,23,4057.19811999994,0.005,0.94,0
89500,23,8531.398119999893,0.005,0.94,0
89750,23,14068.898119999802,0.005,0.94,0
90000,23,21829.898119999634,0.005,0.94,0
90250,23,29842.398119999452,0.005,0.94,0
90500,23,39325.998119999036,0.005,0.94,0
90750,23,49813.49811999831,0.005,0.94,0
91000,23,60300.99811999758,0.005,0.94,0
91250,23,70788.49811999686,0.005,0.94,0
91500,23,81275.99811999613,0.005,0.94,0
91750,23,91763.4981199954,0.005,0.94,0
92000,23,102250.99811999468,0.005,0.94,0
92250,24,1493.8481224999884,0.1775,0.94,0
92500,24,2081.348122499966,0.1775,0.94,0
92750,24,2668.848122499943,0.1775,0.94,0
93000,24,3256.3481224999205,0.1775,0.94,0
93250,24,3843.8481224998977,0.1775,0.94,0
93500,24,4431.34812249994,0.1775,0.94,0
93750,24,5018.8481225000305,0.1775,0.94,0
94000,24,5606.3481225001215,0.1775,0.94,0
94250,24,6193.848122500212,0.1775,0.94,0
94500,24,6781.348122500303,0.1775,0.94,0
94750,24,7368.848122500394,0.1775,0.94,0
95000,24,7956.348122500485,0.1775,0.94,0
95250,24,8543.848122500576,0.1775,0.94,0
95500,24,9131.348122500667,0.1775,0.94,0
95750,24,9718.848122500758,0.1775,0.94,0
96000,24,10401.348122500849,0.1775,0.94,0
96250,25,1438.3981049999882,0.18,0.94,0
96500,25,2025.8981049999654,0.18,0.94,0
96750,25,2613.398104999943,0.18,0.94,0
97000,25,3200.89810499992,0.18,0.94,0
97250,25,4249.6981049999,0.18,0.94,0
97500,25,7312.1981049999,0.18,0.94,0
97750,25,10374.6981049999,0.18,0.94,0
98000,25,13532.1981049999,0.18,0.94,0
98250,25,20853.598104999757,0.18,0.94,0
98500,25,31341.09810499994,0.18,0.94,0
98750,25,41828.598104999335,0.18,0.94,0
99000,25,52316.09810499861,0.18,0.94,0
99250,25,62803.59810499788,0.18,0.94,0
99500,25,73291.09810499716,0.18,0.94,0
99750,25,83778.59810499643,0.18,0.94,0
100000,25,94266.0981049957,0.18,0.94,0
100250,26,1363.2481025000127,0.1625,0.945,0
100500,26,2302.648102500036,0.1625,0.945,0
100750,26,5315.148102500081,0.1625,0.945,0
101000,26,9937.348102500144,0.1625,0.945,0
101250,26,15424.848102500326,0.1625,0.945,0
101500,26,20912.348102500506,0.1625,0.945,0
101750,26,28197.648102500312,0.1625,0.945,0
102000,26,36160.14810249995,0.1625,0.945,0
102250,26,44122.64810249959,0.1625,0.945,0
102500,26,52085.148102499224,0.1625,0.945,0
102750,26,62429.5481024992,0.1625,0.945,0
103000,26,72894.5481024992,0.1625,0.945,0
103250,26,85785.4481024978,0.1625,0.945,0
103500,26,100337.34810249771,0.1625,0.945,0
103750,26,115724.84810249844,0.1625,0.945,0
104000,26,131112.34810249915,0.1625,0.945,0
104250,27,1132.0481049999987,0.1425,0.94,0
104500,27,1719.548104999976,0.1425,0.94,0
104750,27,2307.0481049999535,0.1425,0.94,0
105000,27,2894.5481049999307,0.1425,0.94,0
105250,27,3903.748104999911,0.1425,0.94,0
105500,27,6966.2481049999105,0.1425,0.94,0
105750,27,10028.74810499991,0.1425,0.94,0
106000,27,13091.24810499991,0.1425,0.94,0
106250,27,16153.74810499991,0.1425,0.94,0
106500,27,19216.248104999908,0.1425,0.94,0
106750,27,22278.748104999908,0.1425,0.94,0
107000,27,26129.24810500001,0.1425,0.94,0
107250,27,31666.748105000373,0.1425,0.94,0
107500,27,37204.24810500073,0.1425,0.94,0
107750,27,42741.7481050011,0.1425,0.94,0
