timestep,episode,reward,estimated_team_reward,coverage_ratio,threat_level_avg,exploration_score,loss,timestamp
18750,11,14648.555936938898,29297.111873877795,0.775,0.7101750000000001,310.0,15601.1787109375,2025-12-22T00:17:55.058555Z
19000,11,14648.555936938898,29297.111873877795,0.8725,0.6417499999999999,349.0,15601.1787109375,2025-12-22T00:17:55.584919Z
19250,12,15192.362537836656,30384.725075673312,0.0425,0.3950250000000001,17.0,15601.1787109375,2025-12-22T00:17:56.082430Z
19500,12,15192.362537836656,30384.725075673312,0.34,0.8335500000000002,136.0,15601.1787109375,2025-12-22T00:17:56.606959Z
19750,12,15192.362537836656,30384.725075673312,0.5125,0.70525,205.0,15601.1787109375,2025-12-22T00:17:57.277480Z
20000,12,15192.362537836656,30384.725075673312,0.6575,0.7830250000000001,263.0,15601.1787109375,2025-12-22T00:17:57.786581Z
20250,12,15192.362537836656,30384.725075673312,0.71,0.8069500000000001,284.0,15601.1787109375,2025-12-22T00:17:58.286985Z
20500,12,15192.362537836656,30384.725075673312,0.8025,0.7522250000000001,321.0,14415.3037109375,2025-12-22T00:17:59.977846Z
20750,12,15192.362537836656,30384.725075673312,0.8475,0.7793250000000002,339.0,14415.3037109375,2025-12-22T00:18:00.517076Z
21000,13,15601.019139335676,31202.038278671353,0.18,0.8506500000000001,72.0,14415.3037109375,2025-12-22T00:18:01.045845Z
21250,13,15601.019139335676,31202.038278671353,0.2025,0.8881,81.0,14415.3037109375,2025-12-22T00:18:01.547727Z
21500,13,15601.019139335676,31202.038278671353,0.33,0.7684500000000001,132.0,14415.3037109375,2025-12-22T00:18:02.042307Z
21750,13,15601.019139335676,31202.038278671353,0.4475,0.8137500000000002,179.0,14415.3037109375,2025-12-22T00:18:02.685504Z
22000,13,15601.019139335676,31202.038278671353,0.5775,0.6842750000000001,231.0,14415.3037109375,2025-12-22T00:18:03.177878Z
22250,13,15601.019139335676,31202.038278671353,0.7425,0.6808250000000001,297.0,14415.3037109375,2025-12-22T00:18:03.698381Z
22500,14,15923.18597125765,31846.3719425153,0.155,0.6188250000000001,62.0,14415.3037109375,2025-12-22T00:18:04.221893Z
22750,14,15923.18597125765,31846.3719425153,0.3375,0.7800500000000001,135.0,16674.005859375,2025-12-22T00:18:05.890923Z
23000,14,15923.18597125765,31846.3719425153,0.495,0.5904750000000001,198.0,16674.005859375,2025-12-22T00:18:06.390563Z
23250,14,15923.18597125765,31846.3719425153,0.5925,0.7714250000000001,237.0,16674.005859375,2025-12-22T00:18:06.900412Z
23500,14,15923.18597125765,31846.3719425153,0.66,0.765225,264.0,16674.005859375,2025-12-22T00:18:07.405464Z
23750,14,15923.18597125765,31846.3719425153,0.705,0.6521000000000001,282.0,16674.005859375,2025-12-22T00:18:08.041878Z
24000,15,16068.98923940882,32137.97847881764,0.735,0.7370250000000002,294.0,16674.005859375,2025-12-22T00:18:08.601287Z
24250,15,16068.98923940882,32137.97847881764,0.3275,0.7088500000000001,131.0,16674.005859375,2025-12-22T00:18:09.132278Z
24500,15,16068.98923940882,32137.97847881764,0.5125,0.788725,205.0,16674.005859375,2025-12-22T00:18:09.661916Z
24750,15,16068.98923940882,32137.97847881764,0.6475,0.6560000000000001,259.0,16913.732421875,2025-12-22T00:18:11.863543Z
25000,15,16068.98923940882,32137.97847881764,0.6975,0.837125,279.0,16913.732421875,2025-12-22T00:18:12.407547Z
25250,15,16068.98923940882,32137.97847881764,0.7225,0.800925,289.0,16913.732421875,2025-12-22T00:18:12.913873Z
25500,15,16068.98923940882,32137.97847881764,0.7825,0.7240750000000001,313.0,16913.732421875,2025-12-22T00:18:13.446364Z
25750,16,16230.671768003143,32461.343536006287,0.17,0.8563250000000001,68.0,16913.732421875,2025-12-22T00:18:14.013224Z
26000,16,16230.671768003143,32461.343536006287,0.3625,0.70415,145.0,16913.732421875,2025-12-22T00:18:14.701425Z
26250,16,16230.671768003143,32461.343536006287,0.5025,0.67565,201.0,16913.732421875,2025-12-22T00:18:15.205266Z
26500,16,16230.671768003143,32461.343536006287,0.58,0.8094750000000001,232.0,16913.732421875,2025-12-22T00:18:15.709327Z
26750,16,16230.671768003143,32461.343536006287,0.6725,0.6082000000000002,269.0,9037.82421875,2025-12-22T00:18:17.395541Z
27000,16,16230.671768003143,32461.343536006287,0.695,0.667575,278.0,9037.82421875,2025-12-22T00:18:17.910484Z
27250,17,16141.189590673148,32282.379181346296,0.0375,0.43012500000000015,15.0,9037.82421875,2025-12-22T00:18:18.429266Z
27500,17,16141.189590673148,32282.379181346296,0.2325,0.763625,93.0,9037.82421875,2025-12-22T00:18:18.934028Z
27750,17,16141.189590673148,32282.379181346296,0.49,0.6361500000000001,196.0,9037.82421875,2025-12-22T00:18:19.450713Z
28000,17,16141.189590673148,32282.379181346296,0.6225,0.6785000000000001,249.0,9037.82421875,2025-12-22T00:18:20.090675Z
28250,17,16141.189590673148,32282.379181346296,0.755,0.7792000000000001,302.0,9037.82421875,2025-12-22T00:18:20.611405Z
28500,17,16141.189590673148,32282.379181346296,0.835,0.717125,334.0,9037.82421875,2025-12-22T00:18:21.117233Z
28750,17,16141.189590673148,32282.379181346296,0.8525,0.6687000000000001,341.0,15433.6904296875,2025-12-22T00:18:22.828788Z
29000,18,16454.612945201992,32909.225890403985,0.24,0.689975,96.0,15433.6904296875,2025-12-22T00:18:23.350050Z
29250,18,16454.612945201992,32909.225890403985,0.505,0.65795,202.0,15433.6904296875,2025-12-22T00:18:23.858883Z
29500,18,16454.612945201992,32909.225890403985,0.645,0.7824500000000001,258.0,15433.6904296875,2025-12-22T00:18:24.377419Z
29750,18,16454.612945201992,32909.225890403985,0.705,0.718925,282.0,15433.6904296875,2025-12-22T00:18:24.896392Z
30000,18,16454.612945201992,32909.225890403985,0.7425,0.8293,297.0,15433.6904296875,2025-12-22T00:18:25.554628Z
30250,18,16454.612945201992,32909.225890403985,0.7675,0.8346250000000001,307.0,15433.6904296875,2025-12-22T00:18:26.041035Z
30500,19,16361.716480199993,32723.432960399987,0.105,0.7685000000000001,42.0,15433.6904296875,2025-12-22T00:18:26.564041Z
30750,19,16361.716480199993,32723.432960399987,0.3525,0.6975000000000001,141.0,16334.6962890625,2025-12-22T00:18:28.280989Z
31000,19,16361.716480199993,32723.432960399987,0.5325,0.714375,213.0,16334.6962890625,2025-12-22T00:18:28.819886Z
31250,19,16361.716480199993,32723.432960399987,0.5925,0.843075,237.0,16334.6962890625,2025-12-22T00:18:29.322918Z
